Modularity,Eccentricity,Closeness,Harmonic,Betweeness,Clustering,Indegree,Outdegree,Degree,Domain,Proximity,Pageranks,Cluster,Eigenvector
617,1,1,1,5,0,1,10,11,0.000099,0.000099,0.000073,636,0.001692
617,1,1,1,15,0.007576,2,10,12,0.000198,0.000198,0.000134,647,0.00371
63,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,649,0.001692
63,1,1,1,6.5,0.1,4,2,6,0.000396,0.000396,0.000194,652,0.007746
839,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,655,0.001692
839,1,1,1,8,0.097222,8,1,9,0.000793,0.000793,0.000312,657,0.015817
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,660,0.001692
3,0,0,0,0,0.0625,16,0,16,0.001585,0.001585,0.000531,662,0.031961
36,1,1,1,1.5,0,1,3,4,0.000099,0.000099,0.000073,664,0.001692
36,1,1,1,8,0.033333,2,4,6,0.000495,0.00031,0.000124,668,0.004688
617,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,671,0.001692
434,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,673,0.001692
434,1,1,1,6,0.075758,11,1,12,0.00109,0.00109,0.000196,676,0.021871
64,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,678,0.001692
65,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,680,0.001692
193,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,682,0.001692
177,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000081,684,0.001692
171,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,686,0.001692
171,0,0,0,0,0.2,5,0,5,0.000495,0.000495,0.000216,688,0.009764
299,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,690,0.001692
66,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,692,0.001692
66,0,0,0,0,0.333333,3,0,3,0.000297,0.000297,0.000164,694,0.005728
186,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,696,0.001692
186,1,1,1,57,0.038961,19,3,22,0.001882,0.001882,0.00029,698,0.038015
167,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000066,703,0.001692
167,3,0.666667,0.791667,9,0.071429,2,5,7,0.000198,0.000198,0.000085,707,0.00371
167,1,1,1,4,0.25,3,1,4,0.000396,0.000317,0.000169,712,0.006476
67,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000073,714,0.001692
67,1,1,1,4,0.083333,2,2,4,0.000198,0.000198,0.000134,717,0.00371
68,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,721,0.001692
320,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,723,0.001692
344,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,725,0.001692
953,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,727,0.001692
69,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,729,0.001692
344,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,732,0.001692
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,734,0.001692
70,1,1,1,0.333333,0,1,1,2,0.000495,0.000275,0.000082,736,0.003489
70,1,1,1,3.166667,0.190476,6,1,7,0.000495,0.000495,0.000146,739,0.013745
71,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,740,0.001692
71,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000134,742,0.00371
72,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,744,0.001692
73,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,746,0.001692
186,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000073,748,0.001692
299,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,750,0.001692
299,1,1,1,32,0.05303,8,4,12,0.000793,0.000793,0.000298,752,0.015817
344,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,758,0.001692
344,1,1,1,36.666667,0.02378,40,1,41,0.003963,0.003963,0.001188,760,0.080392
186,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,762,0.001692
74,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,764,0.001692
75,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,766,0.001692
76,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,768,0.001692
76,1,1,1,1.5,0.166667,2,1,3,0.000198,0.000198,0.000134,771,0.00371
48,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,773,0.001692
77,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,775,0.001692
77,1,1,1,4,0.083333,2,2,4,0.000198,0.000198,0.000085,777,0.00371
77,1,1,1,9,0.1,3,3,6,0.000297,0.000297,0.000157,781,0.006085
36,1,1,1,1.5,0,1,3,4,0.000099,0.000099,0.000073,786,0.001692
36,1,1,1,11,0.053571,4,4,8,0.000495,0.000413,0.000156,788,0.008072
78,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,790,0.001692
193,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,792,0.001692
79,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,794,0.001692
80,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,796,0.001692
434,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,798,0.001692
501,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,800,0.001692
501,1,1,1,29,0.071429,10,4,14,0.000892,0.000892,0.000309,804,0.021283
192,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,808,0.001692
81,1,1,1,2,0,1,2,3,0.000099,0.000099,0.000073,810,0.001692
81,1,1,1,2,0.166667,2,1,3,0.000198,0.000198,0.000134,814,0.00371
639,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,817,0.001692
639,1,1,1,10,0.02381,2,5,7,0.000198,0.000198,0.000134,819,0.00371
82,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,826,0.001692
82,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000103,828,0.00371
186,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,830,0.001692
186,0,0,0,0,0.066667,15,0,15,0.001486,0.001486,0.00049,832,0.029943
83,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,834,0.001692
83,1,1,1,10.5,0.071429,4,3,7,0.000396,0.000396,0.00011,837,0.007746
83,1,1,1,15,0.125,5,3,8,0.000495,0.000495,0.000203,841,0.010836
186,1,1,1,1.5,0,1,3,4,0.000099,0.000099,0.000073,846,0.001692
186,1,1,1,31.319444,0.038961,19,3,22,0.00218,0.001844,0.00042,850,0.038699
84,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,852,0.001692
873,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,854,0.001692
873,1,1,1,3,0.166667,3,1,4,0.000297,0.000297,0.000084,856,0.005728
873,1,1,1,4,0.25,4,1,5,0.000396,0.000396,0.000155,859,0.00846
299,3,0.411765,0.47619,7,0,1,1,2,0.000099,0.000099,0.000073,862,0.001692
299,1,1,1,8,0.133333,4,2,6,0.000396,0.000396,0.000187,864,0.008103
85,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,868,0.001692
85,1,1,1,2,0.166667,3,1,4,0.000297,0.000297,0.000097,871,0.005728
85,1,1,1,4,0.25,4,1,5,0.000396,0.000396,0.00018,873,0.00846
86,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,876,0.001692
86,1,1,1,8,0.033333,2,4,6,0.000198,0.000198,0.000134,878,0.00371
675,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,884,0.001692
87,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000073,886,0.001692
87,1,1,1,3,0.166667,3,1,4,0.000297,0.000297,0.000164,889,0.005728
344,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,892,0.001692
88,1,1,1,1.5,0,1,3,4,0.000099,0.000099,0.000073,894,0.001692
88,1,1,1,4.5,0.05,2,3,5,0.000198,0.000198,0.000134,899,0.00371
344,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,901,0.001692
48,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,903,0.001692
89,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,905,0.001692
320,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,907,0.001692
90,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,909,0.001692
90,1,1,1,8,0.1,4,2,6,0.000396,0.000396,0.000194,911,0.007746
91,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000069,915,0.002051
91,1,1,1,2,0,2,2,4,0.000099,0.000099,0.000069,917,0.004102
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,920,0.001692
92,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,922,0.001692
3,1,1,1,0.25,0,1,1,2,0.000099,0.000099,0.00006,924,0.001692
3,1,1,1,1.25,0.166667,2,1,3,0.000198,0.000198,0.000077,927,0.00371
93,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,929,0.001692
93,1,1,1,2,0.166667,2,1,3,0.000198,0.000198,0.000134,931,0.00371
